"Time","max"
2021-12-26 02:00:00,
2021-12-25 02:00:00,
2021-12-24 02:00:00,
2021-12-23 02:00:00,4.199999809265137
2021-12-22 02:00:00,3.9000000953674316
2021-12-21 02:00:00,2.200000047683716
2021-12-20 02:00:00,11.399999618530273
2021-12-19 02:00:00,17.600000381469727
2021-12-18 02:00:00,9.399999618530273
2021-12-17 02:00:00,22.899999618530273
2021-12-16 02:00:00,16.600000381469727
2021-12-15 02:00:00,
2021-12-14 02:00:00,
2021-12-13 02:00:00,
2021-12-12 02:00:00,
2021-12-11 02:00:00,
2021-12-10 02:00:00,
2021-12-09 02:00:00,
2021-12-08 02:00:00,
2021-12-07 02:00:00,
2021-12-06 02:00:00,
2021-12-05 02:00:00,
2021-12-04 02:00:00,
2021-12-03 02:00:00,
2021-12-02 02:00:00,
2021-12-01 02:00:00,
2021-11-30 02:00:00,
2021-11-29 02:00:00,
2021-11-28 02:00:00,
2021-11-27 02:00:00,
2021-11-26 02:00:00,34.20000076293945
2021-11-25 02:00:00,47.900001525878906
2021-11-24 02:00:00,55.900001525878906
2021-11-23 02:00:00,31.600000381469727
2021-11-22 02:00:00,75.9000015258789
2021-11-21 02:00:00,55.400001525878906
2021-11-20 02:00:00,66.9000015258789
2021-11-19 02:00:00,53.400001525878906
2021-11-18 02:00:00,45.20000076293945
2021-11-17 02:00:00,31.600000381469727
2021-11-16 02:00:00,33.20000076293945
2021-11-15 02:00:00,60.400001525878906
2021-11-14 02:00:00,108.69999694824219
2021-11-13 02:00:00,58.900001525878906
2021-11-12 02:00:00,83.4000015258789
2021-11-11 02:00:00,113.9000015258789
2021-11-10 02:00:00,29.100000381469727
2021-11-09 02:00:00,139.60000610351562
2021-11-08 02:00:00,31.100000381469727
2021-11-07 02:00:00,31.899999618530273
2021-11-06 02:00:00,109.4000015258789
2021-11-05 02:00:00,43.400001525878906
2021-11-04 02:00:00,73.4000015258789
2021-11-03 02:00:00,20.100000381469727
2021-11-02 02:00:00,180.10000610351562
2021-11-01 02:00:00,190.60000610351562
2021-10-31 03:00:00,198.10000610351562
2021-10-30 03:00:00,214.10000610351562
2021-10-29 03:00:00,206.60000610351562
2021-10-28 03:00:00,181.89999389648438
2021-10-27 03:00:00,118.69999694824219
2021-10-26 03:00:00,70.69999694824219
2021-10-25 03:00:00,78.4000015258789
2021-10-24 03:00:00,229.39999389648438
2021-10-23 03:00:00,95.9000015258789
2021-10-22 03:00:00,216.10000610351562
2021-10-21 03:00:00,155.39999389648438
2021-10-20 03:00:00,38.70000076293945
2021-10-19 03:00:00,371.5
2021-10-18 03:00:00,265.1000061035156
2021-10-17 03:00:00,297.1000061035156
2021-10-16 03:00:00,341.1000061035156
2021-10-15 03:00:00,98.9000015258789
2021-10-14 03:00:00,187.89999389648438
2021-10-13 03:00:00,149.60000610351562
2021-10-12 03:00:00,291.3999938964844
2021-10-11 03:00:00,437.5
2021-10-10 03:00:00,223.10000610351562
2021-10-09 03:00:00,200.39999389648438
2021-10-08 03:00:00,493.6000061035156
2021-10-07 03:00:00,421.20001220703125
2021-10-06 03:00:00,520.7000122070312
2021-10-05 03:00:00,174.39999389648438
2021-10-04 03:00:00,541.4000244140625
2021-10-03 03:00:00,497.70001220703125
2021-10-02 03:00:00,551.7000122070312
2021-10-01 03:00:00,145.39999389648438
2021-09-30 03:00:00,244.39999389648438
2021-09-29 03:00:00,147.89999389648438
